chapter_no,chapter_title,card_no_in_chapter,theme_title,category,tags,card_variant,recommended_time,title,key_idea,explanation,exercise_steps_json,duration_seconds,difficulty,status,tags_curated,pack,is_free_top300
94,"SASE SEMNE CARE ITI ,  W W ARATA CAAi 0 SENSIBILITATE SOCIALA SANATOASA",11,Faci / Griji / Nivel,Anxietate & Stres,faci|griji|nivel|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Faci / Griji / Nivel,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: faci, griji, nivel, anxietate, ridicat, anumite. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiune","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
92,101 LUCRURI MULT MAI IMPORTANTE DECAT FELUL IN CARE,42,Bine / Grija / Tine,Rutină & Disciplină,bine|grija|tine|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Bine / Grija / Tine,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: bine, grija, tine, mare, nevo, sate. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
10,"DEPASIREA ,,ZONEI DE  CONFORT"" SI MODUL IN CARE OAMENII ISi PUN  SINGURI PIEDICI IN ATINGEREA ADEVARATEI FERICIRI",32,Cite / Auzit / Femei,Anxietate & Stres,cite|auzit|femei|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Cite / Auzit / Femei,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: cite, auzit, femei, sufera, anxietate, spunand. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
92,101 LUCRURI MULT MAI IMPORTANTE DECAT FELUL IN CARE,31,Cele / Urma / Stii,Rutină & Disciplină,cele|urma|stii|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Cele / Urma / Stii,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: cele, urma, stii, lipsa, simt, talent. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
99,CE TREBUIE SA FACI PENTRU A ELIMINA ANXIETATEA DIN VIATA  TA,24,Chiar / Daca / Inseamna,Anxietate & Stres,chiar|daca|inseamna|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Chiar / Daca / Inseamna,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: chiar, daca, inseamna, stii, vrei, frica. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
21,102 MODURI PRIN CARE SANULASI GANDURILE !RATIONALE SA-TI STRI CE VIATA,58,Asta / Daca / Poti,Rutină & Disciplină,asta|daca|poti|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Asta / Daca / Poti,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: asta, daca, poti, face, inseamna, cuno. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
67,LUCRURI PE CARE E BINE SALEEVITI INTRE 20 SI 30 DEANI,33,Amorti / Viata / Frica,Anxietate & Stres,amorti|viata|frica|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Amorti / Viata / Frica,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: amorti, viata, frica, tine, singura, fiara. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
38,CUM SA ITI DETOXIFICI  MINTEA (FARA SA TE IZOLEZI DE SOCIETATE),22,Mult / Fara / Viata,Rutină & Disciplină,mult|fara|viata|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Mult / Fara / Viata,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: mult, fara, viata, daca, cele, multe. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
53,DE CE VREA SUFLETUL,16,Exista / Atat / Multe,Anxietate & Stres,exista|atat|multe|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Exista / Atat / Multe,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: exista, atat, multe, anxietati, frustrari, lucruri. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecți","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
61,LUCRURI PE CARE LE ASTEPTAM  DE LA CEILALTI (DAR PE  CARE RAREORI NE GANDIMSALE SCHIMBAM NOi iNSINE),8,Daca / Numim / Unii,Rutină & Disciplină,daca|numim|unii|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Numim / Unii,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, numim, unii, ingu, minte, emit. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
98,PUTEREA GAND IRII NEGATIVE,12,Fugi / Fara / Aceasta,Anxietate & Stres,fugi|fara|aceasta|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Fugi / Fara / Aceasta,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: fugi, fara, aceasta, constientizare, frica, leul. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiun","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
59,"SAPTESPREZECEIDEI , DESPRE VIATA TA CARE NU FAC ALTCEVA DECAT SA TE TINA PE LOC",7,Daca / Faci / Ceva,Rutină & Disciplină,daca|faci|ceva|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Faci / Ceva,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, faci, ceva, corect, aparea, dupa. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
95,PREZENTUL ESTE TOT,7,Zile / Frica / Adancit,Anxietate & Stres,zile|frica|adancit|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Zile / Frica / Adancit,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: zile, frica, adancit, atat, mult, intuneric. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
14,ASTEPTARI DE CARE  TREBUIE SA TE DEBARASEZI PANAAJUNGI LA 30 DE,9,Daca / Orice / Dore,Rutină & Disciplină,daca|orice|dore|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Orice / Dore,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, orice, dore, munce, greu, batut. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
22,STAREA DE ZEN A CREATIVITATII,11,Fapt / Orice / Proces,Anxietate & Stres,fapt|orice|proces|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Fapt / Orice / Proces,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: fapt, orice, proces, creativ, distrus, presiunea. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiun","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
63,30 DE INTREBARI PE CARE TREBUIE SA TI LE PUI DACA NU AI GASIT INCA RELATIA  PE CARE TI-O DORESTI,5,Daca / Faci / Plan,Rutină & Disciplină,daca|faci|plan|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Faci / Plan,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, faci, plan, gasi, acest, dragoste. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
98,PUTEREA GAND IRII NEGATIVE,7,Putem / Frica / Invata,Anxietate & Stres,putem|frica|invata|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Putem / Frica / Invata,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: putem, frica, invata, vedem, directive, putin. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
48,SAISPREZECE MOTIVE PENTRU CARE INCA NU AI DRAGOSTEA PE CARE TI-O DORESTI,29,Ceea / Zecea / Oara,Rutină & Disciplină,ceea|zecea|oara|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Ceea / Zecea / Oara,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: ceea, zecea, oara, repeta, mine, acum. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
13,101 LUCRURI LA CARE SA TE GANDESTI iN LOC SA TE LASI MACINAT DE  GRIJI,2,Face / Faptul / Uneori,Anxietate & Stres,face|faptul|uneori|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Face / Faptul / Uneori,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: face, faptul, uneori, expresia, suprema, iubirii. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiun","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
21,102 MODURI PRIN CARE SANULASI GANDURILE !RATIONALE SA-TI STRI CE VIATA,97,Asta / Viata / Usoara,Rutină & Disciplină,asta|viata|usoara|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Asta / Viata / Usoara,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: asta, viata, usoara, esti, telept. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
33,CUM SA NU TE MAI PREOCUPI DE MODUL IN CARE ARATA VIATA TA  SI SA iNCEPI SA TE  CONCENTREZIASUPRA FELULUI iN CARE TE SIMTI IN VIATA TA,34,Intreaba / Daca / Toata,Anxietate & Stres,intreaba|daca|toata|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Intreaba / Daca / Toata,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: intreaba, daca, toata, lumea, oarba, impresiona. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiune","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
58,INCA NU AI IMPLINIT 30 DE ANI. NU E PREA TARzIU SAO IEI DE LA,9,Capat / Tarziu / Fapt,Rutină & Disciplină,capat|tarziu|fapt|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Capat / Tarziu / Fapt,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: capat, tarziu, fapt, sper, timpul. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
68,CU CAT ESTI MAI  iMPACAT CU DECIZIA CU ATAT SIMTI MAI  PUTIN NEVOIA APROBARII CELORLALTI  SI ALTE UNSPREZECE PE CARE LE STIU OAMENII IMPLINITI,9,Lasa / Altora / Demonii,Anxietate & Stres,lasa|altora|demonii|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Lasa / Altora / Demonii,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: lasa, altora, demonii, decida, fericirea, frica. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiune","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
33,CUM SA NU TE MAI PREOCUPI DE MODUL IN CARE ARATA VIATA TA  SI SA iNCEPI SA TE  CONCENTREZIASUPRA FELULUI iN CARE TE SIMTI IN VIATA TA,6,Daca / Cine / Locui,Rutină & Disciplină,daca|cine|locui|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Cine / Locui,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, cine, locui, cenzura, baza, ceea. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
